"GEO";"GEO_OBJECT";"SEX";"AGE";"RP_MEASURE";TIME_PERIOD;OBS_VALUE
"13211";"ARM";"F";"Y15T24";"POP";2016;3494.368867
"13211";"ARM";"F";"Y20T64";"POP";2016;17282.542383
"13212";"ARM";"M";"Y40T54";"POP";2016;5574.12015
"13212";"ARM";"M";"Y_GE80";"POP";2016;1813.765855
"13212";"ARM";"_T";"Y55T64";"POP";2016;7684.394718
"13212";"ARM";"F";"Y25T39";"POP";2016;5398.524855
"13211";"ARM";"_T";"Y15T24";"POP";2016;7161.262569
"13212";"ARM";"M";"Y_LT20";"POP";2016;6843.951507
"13212";"ARM";"_T";"Y_GE80";"POP";2016;5445.396437
"13212";"ARM";"F";"Y15T24";"POP";2016;3120.627997
"13211";"ARM";"M";"Y65T79";"POP";2016;3292.611723
"13211";"ARM";"M";"Y_LT15";"POP";2016;5593.452078
"13212";"ARM";"M";"Y25T39";"POP";2016;4844.925888
"13211";"ARM";"M";"Y20T64";"POP";2016;15539.169557
"13211";"ARM";"F";"Y_LT15";"POP";2016;5297.718609
"13211";"ARM";"M";"Y55T64";"POP";2016;3649.219415
"13212";"ARM";"M";"Y_GE65";"POP";2016;5814.911642
"13212";"ARM";"F";"Y_GE65";"POP";2016;8867.67013
"13211";"ARM";"_T";"Y_GE80";"POP";2016;2953.94186
"13211";"ARM";"M";"Y_GE65";"POP";2016;4355.036426
"13211";"ARM";"_T";"Y65T79";"POP";2016;7148.92918
"13212";"ARM";"_T";"Y_LT20";"POP";2016;13253.527876
"13212";"ARM";"_T";"Y_GE65";"POP";2016;14682.581772
"13211";"ARM";"M";"Y15T24";"POP";2016;3666.893701
"13211";"ARM";"M";"Y_GE80";"POP";2016;1062.424702
"13211";"ARM";"_T";"_T";"POP";2016;57757
"13212";"ARM";"F";"Y_LT15";"POP";2016;4734.584779
"13212";"ARM";"_T";"Y40T54";"POP";2016;12074.684193
"13212";"ARM";"M";"Y55T64";"POP";2016;3505.133037
"13212";"ARM";"F";"Y_GE80";"POP";2016;3631.630582
"13211";"ARM";"F";"Y40T54";"POP";2016;6706.277454
"13212";"ARM";"_T";"Y15T24";"POP";2016;6289.551043
"13211";"ARM";"_T";"Y20T64";"POP";2016;32821.71194
"13211";"ARM";"F";"Y_GE80";"POP";2016;1891.517158
"13211";"ARM";"_T";"Y_GE65";"POP";2016;10102.87104
"13211";"ARM";"F";"_T";"POP";2016;30265.968624
"13212";"ARM";"_T";"Y65T79";"POP";2016;9237.185336
"13211";"ARM";"F";"Y65T79";"POP";2016;3856.317457
"13212";"ARM";"F";"Y20T64";"POP";2016;17523.986985
"13211";"ARM";"_T";"Y25T39";"POP";2016;9320.853461
"13212";"ARM";"F";"Y40T54";"POP";2016;6500.564043
"13212";"ARM";"_T";"Y_LT15";"POP";2016;9824.337531
"13212";"ARM";"_T";"Y25T39";"POP";2016;10243.450743
"13212";"ARM";"F";"_T";"POP";2016;32801.233485
"13211";"ARM";"M";"Y25T39";"POP";2016;4446.001981
