Année de construction,Nombre de logements,Arrondissement,COG,Code_postal
1973,34,Marseille 11,13211,13011
1974,4,Marseille 11,13211,13011
1975,27,Marseille 11,13211,13011
1976,4,Marseille 11,13211,13011
1977,4,Marseille 11,13211,13011
1978,45,Marseille 11,13211,13011
1979,6,Marseille 11,13211,13011
1980,44,Marseille 11,13211,13011
1981,5,Marseille 11,13211,13011
1982,6,Marseille 11,13211,13011
1983,17,Marseille 11,13211,13011
1984,8,Marseille 11,13211,13011
1985,21,Marseille 11,13211,13011
1986,19,Marseille 11,13211,13011
1987,5,Marseille 11,13211,13011
1988,6,Marseille 11,13211,13011
1989,52,Marseille 11,13211,13011
1990,10,Marseille 11,13211,13011
1991,7,Marseille 11,13211,13011
1992,3,Marseille 11,13211,13011
1993,3,Marseille 11,13211,13011
1994,12,Marseille 11,13211,13011
1995,5,Marseille 11,13211,13011
1996,24,Marseille 11,13211,13011
1997,9,Marseille 11,13211,13011
1998,13,Marseille 11,13211,13011
1999,9,Marseille 11,13211,13011
2000,9,Marseille 11,13211,13011
2001,17,Marseille 11,13211,13011
2002,8,Marseille 11,13211,13011
2003,5,Marseille 11,13211,13011
2004,10,Marseille 11,13211,13011
2005,10,Marseille 11,13211,13011
2006,37,Marseille 11,13211,13011
2007,9,Marseille 11,13211,13011
2008,13,Marseille 11,13211,13011
2009,6,Marseille 11,13211,13011
2010,15,Marseille 11,13211,13011
2011,13,Marseille 11,13211,13011
2012,6,Marseille 11,13211,13011
2013,42,Marseille 11,13211,13011
2014,27,Marseille 11,13211,13011
2015,18,Marseille 11,13211,13011
2016,13,Marseille 11,13211,13011
2017,23,Marseille 11,13211,13011
2018,16,Marseille 11,13211,13011
2019,15,Marseille 11,13211,13011
2020,7,Marseille 11,13211,13011
2021,4,Marseille 11,13211,13011
2022,5,Marseille 11,13211,13011
2023,2,Marseille 11,13211,13011
2025,1,Marseille 11,13211,13011
