,1990,1999,2006,2011,2016,2022,Arrondissement,COG,Code_postal
Nombre moyen d'occupants par résidence principale,"2,5","2,36","2,26","2,25","2,18","2,13",Marseille 12,13212,13012
Nombre moyen d'occupants par résidence principale,"2,83","2,67","2,51","2,49","2,44","2,34",Marseille 11,13211,13011
