Équipement,Type,Geo Point,Geo Shape,Arrondissement,COG,Code_postal
RÉPARATION AUTOMOBILE ET DE MATÉRIEL AGRICOLE,Services aux particuliers,"43.29834018958936, 5.433035048040286","{""coordinates"": [5.433035048040286, 43.29834018958936], ""type"": ""Point""}",Marseille 12,13212,13012
INFIRMIER,Santé,"43.31812056715846, 5.441234782475051","{""coordinates"": [5.441234782475051, 43.31812056715846], ""type"": ""Point""}",Marseille 12,13212,13012
SALLES DE REMISE EN FORME,"Sports, loisirs et culture","43.31195721805569, 5.465267954703757","{""coordinates"": [5.465267954703757, 43.31195721805569], ""type"": ""Point""}",Marseille 12,13212,13012
MAÇON,Services aux particuliers,"43.314572407788454, 5.413185966362386","{""coordinates"": [5.413185966362386, 43.314572407788454], ""type"": ""Point""}",Marseille 12,13212,13012
AGENCE IMMOBILIÈRE,Services aux particuliers,"43.31311000022163, 5.434616156798109","{""coordinates"": [5.434616156798109, 43.31311000022163], ""type"": ""Point""}",Marseille 12,13212,13012
RESTAURANT- RESTAURATION RAPIDE,Services aux particuliers,"43.302766623648424, 5.429910788154959","{""coordinates"": [5.429910788154959, 43.302766623648424], ""type"": ""Point""}",Marseille 12,13212,13012
ÉCOLE ÉLÉMENTAIRE,Enseignement,"43.312387489135006, 5.411479923835306","{""coordinates"": [5.411479923835306, 43.312387489135006], ""type"": ""Point""}",Marseille 12,13212,13012
CHIRURGIEN DENTISTE,Santé,"43.29592093540184, 5.443290722083368","{""coordinates"": [5.443290722083368, 43.29592093540184], ""type"": ""Point""}",Marseille 12,13212,13012
CHIRURGIEN DENTISTE,Santé,"43.30894314420764, 5.41925663056384","{""coordinates"": [5.41925663056384, 43.30894314420764], ""type"": ""Point""}",Marseille 12,13212,13012
ORTHOPHONISTE,Santé,"43.30426074740932, 5.414978673325058","{""coordinates"": [5.414978673325058, 43.30426074740932], ""type"": ""Point""}",Marseille 12,13212,13012
MAÇON,Services aux particuliers,"43.29605464054103, 5.428069858492232","{""coordinates"": [5.428069858492232, 43.29605464054103], ""type"": ""Point""}",Marseille 12,13212,13012
ORTHOPHONISTE,Santé,"43.31469790854145, 5.438160889994834","{""coordinates"": [5.438160889994834, 43.31469790854145], ""type"": ""Point""}",Marseille 12,13212,13012
"BANQUE,CAISSE D’ÉPARGNE",Services aux particuliers,"43.3035435871745, 5.419319142953889","{""coordinates"": [5.419319142953889, 43.3035435871745], ""type"": ""Point""}",Marseille 12,13212,13012
PARFUMERIE-COSMÉTIQUE,Commerces,"43.295903078969694, 5.445890439444399","{""coordinates"": [5.445890439444399, 43.295903078969694], ""type"": ""Point""}",Marseille 12,13212,13012
