Équipement,Type,Geo Point,Geo Shape,Arrondissement,COG,Code_postal
AUTRES ÉTABLISSEMENTS POUR ADULTES ET FAMILLES EN DIFFICULTÉ,Santé,"43.3005525781652, 5.413094506631175","{""coordinates"": [5.413094506631175, 43.3005525781652], ""type"": ""Point""}",Marseille 12,13212,13012
ÉLECTRICIEN,Services aux particuliers,"43.317462328709254, 5.451506936589271","{""coordinates"": [5.451506936589271, 43.317462328709254], ""type"": ""Point""}",Marseille 12,13212,13012
COIFFURE,Services aux particuliers,"43.297430736701656, 5.441456142075567","{""coordinates"": [5.441456142075567, 43.297430736701656], ""type"": ""Point""}",Marseille 12,13212,13012
ORTHOPHONISTE,Santé,"43.31179299663899, 5.429148651712559","{""coordinates"": [5.429148651712559, 43.31179299663899], ""type"": ""Point""}",Marseille 12,13212,13012
PÉDICURE-PODOLOGUE,Santé,"43.30377465742988, 5.426916714975698","{""coordinates"": [5.426916714975698, 43.30377465742988], ""type"": ""Point""}",Marseille 12,13212,13012
TERRAINS DE GRANDS JEUX,"Sports, loisirs et culture","43.298624225224124, 5.428469368074455","{""coordinates"": [5.428469368074455, 43.298624225224124], ""type"": ""Point""}",Marseille 12,13212,13012
TENNIS,"Sports, loisirs et culture","43.314812092337036, 5.464003414452444","{""coordinates"": [5.464003414452444, 43.314812092337036], ""type"": ""Point""}",Marseille 12,13212,13012
TAXI-VTC,Transports et déplacements,"43.301423252045275, 5.443433584322293","{""coordinates"": [5.443433584322293, 43.301423252045275], ""type"": ""Point""}",Marseille 12,13212,13012
COIFFURE,Services aux particuliers,"43.308982249072, 5.439900282371745","{""coordinates"": [5.439900282371745, 43.308982249072], ""type"": ""Point""}",Marseille 12,13212,13012
MENUISIER CHARPENTIER SERRURIER,Services aux particuliers,"43.31463252667967, 5.431829566585725","{""coordinates"": [5.431829566585725, 43.31463252667967], ""type"": ""Point""}",Marseille 12,13212,13012
INSTITUT DE BEAUTÉ-ONGLERIE,Services aux particuliers,"43.3191571210769, 5.44582152030418","{""coordinates"": [5.44582152030418, 43.3191571210769], ""type"": ""Point""}",Marseille 12,13212,13012
RÉPARATION AUTOMOBILE ET DE MATÉRIEL AGRICOLE,Services aux particuliers,"43.31557441411114, 5.457716522237885","{""coordinates"": [5.457716522237885, 43.31557441411114], ""type"": ""Point""}",Marseille 12,13212,13012
BOULODROME,"Sports, loisirs et culture","43.29963304913261, 5.40832181710213","{""coordinates"": [5.40832181710213, 43.29963304913261], ""type"": ""Point""}",Marseille 12,13212,13012
RÉPARATION AUTOMOBILE ET DE MATÉRIEL AGRICOLE,Services aux particuliers,"43.305527032964775, 5.456752090282595","{""coordinates"": [5.456752090282595, 43.305527032964775], ""type"": ""Point""}",Marseille 12,13212,13012
ÉLECTRICIEN,Services aux particuliers,"43.318097952609186, 5.442510955873592","{""coordinates"": [5.442510955873592, 43.318097952609186], ""type"": ""Point""}",Marseille 12,13212,13012
TAXI-VTC,Transports et déplacements,"43.3069429871708, 5.428924685941329","{""coordinates"": [5.428924685941329, 43.3069429871708], ""type"": ""Point""}",Marseille 12,13212,13012
TAXI-VTC,Transports et déplacements,"43.311994613562874, 5.416076078806631","{""coordinates"": [5.416076078806631, 43.311994613562874], ""type"": ""Point""}",Marseille 12,13212,13012
PSYCHOLOGUE,Santé,"43.304905541642434, 5.418587354929002","{""coordinates"": [5.418587354929002, 43.304905541642434], ""type"": ""Point""}",Marseille 12,13212,13012
SUPERMARCHÉ,Commerces,"43.30229123057055, 5.47476176708044","{""coordinates"": [5.47476176708044, 43.30229123057055], ""type"": ""Point""}",Marseille 12,13212,13012
MASSEUR KINÉSITHÉRAPEUTE,Santé,"43.304366471168244, 5.416811875748848","{""coordinates"": [5.416811875748848, 43.304366471168244], ""type"": ""Point""}",Marseille 12,13212,13012
FLEURISTE-JARDINERIE-ANIMALERIE,Commerces,"43.31364464111681, 5.413458336991447","{""coordinates"": [5.413458336991447, 43.31364464111681], ""type"": ""Point""}",Marseille 12,13212,13012
COIFFURE,Services aux particuliers,"43.32079193677765, 5.431967671211708","{""coordinates"": [5.431967671211708, 43.32079193677765], ""type"": ""Point""}",Marseille 12,13212,13012
LOCATION AUTO-UTILITAIRES LÉGERS,Services aux particuliers,"43.32208161469041, 5.434144826587308","{""coordinates"": [5.434144826587308, 43.32208161469041], ""type"": ""Point""}",Marseille 12,13212,13012
MÉDECIN GÉNÉRALISTE,Santé,"43.30857411472403, 5.4237255492116","{""coordinates"": [5.4237255492116, 43.30857411472403], ""type"": ""Point""}",Marseille 12,13212,13012
PHARMACIE,Santé,"43.30860664563394, 5.438398075178434","{""coordinates"": [5.438398075178434, 43.30860664563394], ""type"": ""Point""}",Marseille 12,13212,13012
PLOMBIER COUVREUR CHAUFFAGISTE,Services aux particuliers,"43.31227526734026, 5.409194992598816","{""coordinates"": [5.409194992598816, 43.31227526734026], ""type"": ""Point""}",Marseille 12,13212,13012
SERVICES FUNÉRAIRES,Services aux particuliers,"43.2994920281993, 5.451918381174476","{""coordinates"": [5.451918381174476, 43.2994920281993], ""type"": ""Point""}",Marseille 12,13212,13012
INFIRMIER,Santé,"43.30567591658544, 5.417860050892013","{""coordinates"": [5.417860050892013, 43.30567591658544], ""type"": ""Point""}",Marseille 12,13212,13012
AGENCE DE VOYAGE,Tourisme,"43.30427013260811, 5.41492114721428","{""coordinates"": [5.41492114721428, 43.30427013260811], ""type"": ""Point""}",Marseille 12,13212,13012
TAXI-VTC,Transports et déplacements,"43.301635231088646, 5.452480264637368","{""coordinates"": [5.452480264637368, 43.301635231088646], ""type"": ""Point""}",Marseille 12,13212,13012
ÉPICERIE,Commerces,"43.30785117957683, 5.468391561531174","{""coordinates"": [5.468391561531174, 43.30785117957683], ""type"": ""Point""}",Marseille 12,13212,13012
PLÂTRIER PEINTRE,Services aux particuliers,"43.299398377141884, 5.410439315559614","{""coordinates"": [5.410439315559614, 43.299398377141884], ""type"": ""Point""}",Marseille 12,13212,13012
DIÉTÉTICIEN,Santé,"43.306067205250606, 5.473547779172113","{""coordinates"": [5.473547779172113, 43.306067205250606], ""type"": ""Point""}",Marseille 12,13212,13012
PHARMACIE,Santé,"43.31697166499518, 5.44738269902344","{""coordinates"": [5.44738269902344, 43.31697166499518], ""type"": ""Point""}",Marseille 12,13212,13012
STATION-SERVICE,Commerces,"43.29599773463704, 5.425999168803262","{""coordinates"": [5.425999168803262, 43.29599773463704], ""type"": ""Point""}",Marseille 12,13212,13012
CHIRURGIEN DENTISTE,Santé,"43.30713610854464, 5.422424442431486","{""coordinates"": [5.422424442431486, 43.30713610854464], ""type"": ""Point""}",Marseille 12,13212,13012
MAGASIN D’ÉLECTROMÉNAGER ET DE MAT. AUDIO-VIDEO,Commerces,"43.29054518487474, 5.421042448161608","{""coordinates"": [5.421042448161608, 43.29054518487474], ""type"": ""Point""}",Marseille 12,13212,13012
MÉDECIN GÉNÉRALISTE,Santé,"43.30197272381943, 5.421454071786837","{""coordinates"": [5.421454071786837, 43.30197272381943], ""type"": ""Point""}",Marseille 12,13212,13012
LABORATOIRE D ANALYSES ET DE BIOLOGIE MÉDICALE,Santé,"43.31783160751058, 5.459855250697754","{""coordinates"": [5.459855250697754, 43.31783160751058], ""type"": ""Point""}",Marseille 12,13212,13012
INSTITUT DE BEAUTÉ-ONGLERIE,Services aux particuliers,"43.30637134636251, 5.44857667272066","{""coordinates"": [5.44857667272066, 43.30637134636251], ""type"": ""Point""}",Marseille 12,13212,13012
RESTAURANT- RESTAURATION RAPIDE,Services aux particuliers,"43.312421239177766, 5.448494727455452","{""coordinates"": [5.448494727455452, 43.312421239177766], ""type"": ""Point""}",Marseille 12,13212,13012
MAGASIN DE VÊTEMENTS,Commerces,"43.30399946331783, 5.41634053171437","{""coordinates"": [5.41634053171437, 43.30399946331783], ""type"": ""Point""}",Marseille 12,13212,13012
BASSIN DE NATATION,"Sports, loisirs et culture","43.298397849798334, 5.414068942873728","{""coordinates"": [5.414068942873728, 43.298397849798334], ""type"": ""Point""}",Marseille 12,13212,13012
INFIRMIER,Santé,"43.30676949267834, 5.445667388814033","{""coordinates"": [5.445667388814033, 43.30676949267834], ""type"": ""Point""}",Marseille 12,13212,13012
PHARMACIE,Santé,"43.3180505025822, 5.434679398699027","{""coordinates"": [5.434679398699027, 43.3180505025822], ""type"": ""Point""}",Marseille 12,13212,13012
SPÉCIALISTE EN CARDIOLOGIE,Santé,"43.30443381134277, 5.423852539905082","{""coordinates"": [5.423852539905082, 43.30443381134277], ""type"": ""Point""}",Marseille 12,13212,13012
PERSONNES ÂGÉES : SERVICES D’AIDE,Santé,"43.2967363109424, 5.423967595391562","{""coordinates"": [5.423967595391562, 43.2967363109424], ""type"": ""Point""}",Marseille 12,13212,13012
AGENCE IMMOBILIÈRE,Services aux particuliers,"43.30221400759568, 5.433224041332314","{""coordinates"": [5.433224041332314, 43.30221400759568], ""type"": ""Point""}",Marseille 12,13212,13012
MASSEUR KINÉSITHÉRAPEUTE,Santé,"43.31487629674925, 5.440621483012562","{""coordinates"": [5.440621483012562, 43.31487629674925], ""type"": ""Point""}",Marseille 12,13212,13012
AUTRES ÉTABLISSEMENTS POUR ADULTES ET FAMILLES EN DIFFICULTÉ,Santé,"43.2965258417382, 5.418900720630787","{""coordinates"": [5.418900720630787, 43.2965258417382], ""type"": ""Point""}",Marseille 12,13212,13012
RÉPARATION AUTOMOBILE ET DE MATÉRIEL AGRICOLE,Services aux particuliers,"43.29646148027662, 5.411479197265241","{""coordinates"": [5.411479197265241, 43.29646148027662], ""type"": ""Point""}",Marseille 12,13212,13012
MÉDECIN GÉNÉRALISTE,Santé,"43.30284430713437, 5.417407958772035","{""coordinates"": [5.417407958772035, 43.30284430713437], ""type"": ""Point""}",Marseille 12,13212,13012
TENNIS,"Sports, loisirs et culture","43.30105789575248, 5.450237612847944","{""coordinates"": [5.450237612847944, 43.30105789575248], ""type"": ""Point""}",Marseille 12,13212,13012
CENTRE DE FORMATION D’APPRENTIS HORS AGRICULTURE,Enseignement,"43.301754854322, 5.462339987809535","{""coordinates"": [5.462339987809535, 43.301754854322], ""type"": ""Point""}",Marseille 12,13212,13012
INFIRMIER,Santé,"43.31035280902413, 5.430178073659398","{""coordinates"": [5.430178073659398, 43.31035280902413], ""type"": ""Point""}",Marseille 12,13212,13012
ENFANTS HANDICAPÉS : SERVICES À DOMICILE OU AMBULATOIRES,Santé,"43.29944159295188, 5.415288185060393","{""coordinates"": [5.415288185060393, 43.29944159295188], ""type"": ""Point""}",Marseille 12,13212,13012
INSTITUT DE BEAUTÉ-ONGLERIE,Services aux particuliers,"43.32333625750073, 5.431931793910519","{""coordinates"": [5.431931793910519, 43.32333625750073], ""type"": ""Point""}",Marseille 12,13212,13012
MAGASIN DE VÊTEMENTS,Commerces,"43.30202749458218, 5.475718175646058","{""coordinates"": [5.475718175646058, 43.30202749458218], ""type"": ""Point""}",Marseille 12,13212,13012
GRANDE SURFACE DE BRICOLAGE,Commerces,"43.30840133790753, 5.41154005984192","{""coordinates"": [5.41154005984192, 43.30840133790753], ""type"": ""Point""}",Marseille 12,13212,13012
SPÉCIALISTE EN PNEUMOLOGIE,Santé,"43.30485916985335, 5.418419413405868","{""coordinates"": [5.418419413405868, 43.30485916985335], ""type"": ""Point""}",Marseille 12,13212,13012
PLÂTRIER PEINTRE,Services aux particuliers,"43.30113555575546, 5.448546289814554","{""coordinates"": [5.448546289814554, 43.30113555575546], ""type"": ""Point""}",Marseille 12,13212,13012
RÉPARATION AUTOMOBILE ET DE MATÉRIEL AGRICOLE,Services aux particuliers,"43.307898503158086, 5.431207069309236","{""coordinates"": [5.431207069309236, 43.307898503158086], ""type"": ""Point""}",Marseille 12,13212,13012
ÉLECTRICIEN,Services aux particuliers,"43.297080407736104, 5.427102054986619","{""coordinates"": [5.427102054986619, 43.297080407736104], ""type"": ""Point""}",Marseille 12,13212,13012
ÉLECTRICIEN,Services aux particuliers,"43.29709497234931, 5.41330995974351","{""coordinates"": [5.41330995974351, 43.29709497234931], ""type"": ""Point""}",Marseille 12,13212,13012
PLÂTRIER PEINTRE,Services aux particuliers,"43.29820906788339, 5.420059369633353","{""coordinates"": [5.420059369633353, 43.29820906788339], ""type"": ""Point""}",Marseille 12,13212,13012
RÉPARATION AUTOMOBILE ET DE MATÉRIEL AGRICOLE,Services aux particuliers,"43.32208161469041, 5.434144826587308","{""coordinates"": [5.434144826587308, 43.32208161469041], ""type"": ""Point""}",Marseille 12,13212,13012
ÉPICERIE,Commerces,"43.311586008220985, 5.444638510657239","{""coordinates"": [5.444638510657239, 43.311586008220985], ""type"": ""Point""}",Marseille 12,13212,13012
"BANQUE,CAISSE D’ÉPARGNE",Services aux particuliers,"43.30368062329243, 5.417510558169401","{""coordinates"": [5.417510558169401, 43.30368062329243], ""type"": ""Point""}",Marseille 12,13212,13012
MENUISIER CHARPENTIER SERRURIER,Services aux particuliers,"43.32260260398792, 5.432334384844174","{""coordinates"": [5.432334384844174, 43.32260260398792], ""type"": ""Point""}",Marseille 12,13212,13012
PHARMACIE,Santé,"43.30411657467828, 5.41228617453385","{""coordinates"": [5.41228617453385, 43.30411657467828], ""type"": ""Point""}",Marseille 12,13212,13012
INFIRMIER,Santé,"43.303009537861215, 5.442743068493368","{""coordinates"": [5.442743068493368, 43.303009537861215], ""type"": ""Point""}",Marseille 12,13212,13012
LOCATION AUTO-UTILITAIRES LÉGERS,Services aux particuliers,"43.294224082076525, 5.42072760887319","{""coordinates"": [5.42072760887319, 43.294224082076525], ""type"": ""Point""}",Marseille 12,13212,13012
RÉPARATION AUTOMOBILE ET DE MATÉRIEL AGRICOLE,Services aux particuliers,"43.29121464926038, 5.422903106645829","{""coordinates"": [5.422903106645829, 43.29121464926038], ""type"": ""Point""}",Marseille 12,13212,13012
COIFFURE,Services aux particuliers,"43.303612002945705, 5.418087729906805","{""coordinates"": [5.418087729906805, 43.303612002945705], ""type"": ""Point""}",Marseille 12,13212,13012
MASSEUR KINÉSITHÉRAPEUTE,Santé,"43.30279394302851, 5.411846973148834","{""coordinates"": [5.411846973148834, 43.30279394302851], ""type"": ""Point""}",Marseille 12,13212,13012
MAGASIN DE VÊTEMENTS,Commerces,"43.30425559835096, 5.414846598919699","{""coordinates"": [5.414846598919699, 43.30425559835096], ""type"": ""Point""}",Marseille 12,13212,13012
INSTITUT DE BEAUTÉ-ONGLERIE,Services aux particuliers,"43.31387044665273, 5.438428107778059","{""coordinates"": [5.438428107778059, 43.31387044665273], ""type"": ""Point""}",Marseille 12,13212,13012
MENUISIER CHARPENTIER SERRURIER,Services aux particuliers,"43.3191681612889, 5.439453222723822","{""coordinates"": [5.439453222723822, 43.3191681612889], ""type"": ""Point""}",Marseille 12,13212,13012
RÉPARATION AUTOMOBILE ET DE MATÉRIEL AGRICOLE,Services aux particuliers,"43.31340056910387, 5.447376511981831","{""coordinates"": [5.447376511981831, 43.31340056910387], ""type"": ""Point""}",Marseille 12,13212,13012
SPÉCIALISTE EN CARDIOLOGIE,Santé,"43.30323012305861, 5.437357342024412","{""coordinates"": [5.437357342024412, 43.30323012305861], ""type"": ""Point""}",Marseille 12,13212,13012
PLOMBIER COUVREUR CHAUFFAGISTE,Services aux particuliers,"43.29882783464513, 5.449497029110622","{""coordinates"": [5.449497029110622, 43.29882783464513], ""type"": ""Point""}",Marseille 12,13212,13012
SPÉCIALISTE EN PSYCHIATRIE,Santé,"43.30279394302851, 5.411846973148834","{""coordinates"": [5.411846973148834, 43.30279394302851], ""type"": ""Point""}",Marseille 12,13212,13012
BOULANGERIE,Commerces,"43.30380350226582, 5.417114838638472","{""coordinates"": [5.417114838638472, 43.30380350226582], ""type"": ""Point""}",Marseille 12,13212,13012
MAGASIN D’ÉQUIPEMENTS DU FOYER,Commerces,"43.306212473160734, 5.464595875633146","{""coordinates"": [5.464595875633146, 43.306212473160734], ""type"": ""Point""}",Marseille 12,13212,13012
INFIRMIER,Santé,"43.30926349200378, 5.462898592104301","{""coordinates"": [5.462898592104301, 43.30926349200378], ""type"": ""Point""}",Marseille 12,13212,13012
COIFFURE,Services aux particuliers,"43.30462357137535, 5.417066656024446","{""coordinates"": [5.417066656024446, 43.30462357137535], ""type"": ""Point""}",Marseille 12,13212,13012
SPÉCIALISTE EN CARDIOLOGIE,Santé,"43.30297968983254, 5.448437549188274","{""coordinates"": [5.448437549188274, 43.30297968983254], ""type"": ""Point""}",Marseille 12,13212,13012
INFIRMIER,Santé,"43.31259099295994, 5.465678992941539","{""coordinates"": [5.465678992941539, 43.31259099295994], ""type"": ""Point""}",Marseille 12,13212,13012
TAXI-VTC,Transports et déplacements,"43.310987355310765, 5.44651484301938","{""coordinates"": [5.44651484301938, 43.310987355310765], ""type"": ""Point""}",Marseille 12,13212,13012
TENNIS,"Sports, loisirs et culture","43.3207426845369, 5.466788934533263","{""coordinates"": [5.466788934533263, 43.3207426845369], ""type"": ""Point""}",Marseille 12,13212,13012
MAGASIN D’ARTICLES DE SPORTS ET DE LOISIRS,Commerces,"43.30364464035002, 5.446512551907817","{""coordinates"": [5.446512551907817, 43.30364464035002], ""type"": ""Point""}",Marseille 12,13212,13012
PHARMACIE,Santé,"43.30305775595423, 5.448169755422607","{""coordinates"": [5.448169755422607, 43.30305775595423], ""type"": ""Point""}",Marseille 12,13212,13012
PLOMBIER COUVREUR CHAUFFAGISTE,Services aux particuliers,"43.314893520208805, 5.438422456120235","{""coordinates"": [5.438422456120235, 43.314893520208805], ""type"": ""Point""}",Marseille 12,13212,13012
RÉPARATION AUTOMOBILE ET DE MATÉRIEL AGRICOLE,Services aux particuliers,"43.321656281181674, 5.431816650068757","{""coordinates"": [5.431816650068757, 43.321656281181674], ""type"": ""Point""}",Marseille 12,13212,13012
MENUISIER CHARPENTIER SERRURIER,Services aux particuliers,"43.316572046921756, 5.444666454217286","{""coordinates"": [5.444666454217286, 43.316572046921756], ""type"": ""Point""}",Marseille 12,13212,13012
INSTITUT DE BEAUTÉ-ONGLERIE,Services aux particuliers,"43.29567282962819, 5.429909394271006","{""coordinates"": [5.429909394271006, 43.29567282962819], ""type"": ""Point""}",Marseille 12,13212,13012
MÉDECIN GÉNÉRALISTE,Santé,"43.302756117212915, 5.452257085723152","{""coordinates"": [5.452257085723152, 43.302756117212915], ""type"": ""Point""}",Marseille 12,13212,13012
MAGASIN D’OPTIQUE,Commerces,"43.30229123057055, 5.47476176708044","{""coordinates"": [5.47476176708044, 43.30229123057055], ""type"": ""Point""}",Marseille 12,13212,13012
MAÇON,Services aux particuliers,"43.30185741074515, 5.447800852343303","{""coordinates"": [5.447800852343303, 43.30185741074515], ""type"": ""Point""}",Marseille 12,13212,13012
SPÉCIALISTE EN GASTRO-ENTÉROLOGIE HÉPATOLOGIE,Santé,"43.31368934301291, 5.411358384126022","{""coordinates"": [5.411358384126022, 43.31368934301291], ""type"": ""Point""}",Marseille 12,13212,13012
MAÇON,Services aux particuliers,"43.31265648013368, 5.412049500830566","{""coordinates"": [5.412049500830566, 43.31265648013368], ""type"": ""Point""}",Marseille 12,13212,13012
INSTITUT DE BEAUTÉ-ONGLERIE,Services aux particuliers,"43.29674350406357, 5.423967897799518","{""coordinates"": [5.423967897799518, 43.29674350406357], ""type"": ""Point""}",Marseille 12,13212,13012
TAXI-VTC,Transports et déplacements,"43.301383137815094, 5.445056148619495","{""coordinates"": [5.445056148619495, 43.301383137815094], ""type"": ""Point""}",Marseille 12,13212,13012
INSTITUT DE BEAUTÉ-ONGLERIE,Services aux particuliers,"43.31822413411762, 5.442168330037313","{""coordinates"": [5.442168330037313, 43.31822413411762], ""type"": ""Point""}",Marseille 12,13212,13012
INFORMATION TOURISTIQUE,Tourisme,"43.30348127534239, 5.439668700206577","{""coordinates"": [5.439668700206577, 43.30348127534239], ""type"": ""Point""}",Marseille 12,13212,13012
"BANQUE,CAISSE D’ÉPARGNE",Services aux particuliers,"43.30493633876988, 5.418421664821654","{""coordinates"": [5.418421664821654, 43.30493633876988], ""type"": ""Point""}",Marseille 12,13212,13012
POISSONNERIE,Commerces,"43.31141980009276, 5.446455550193462","{""coordinates"": [5.446455550193462, 43.31141980009276], ""type"": ""Point""}",Marseille 12,13212,13012
BOULANGERIE,Commerces,"43.31777019509278, 5.459749827929797","{""coordinates"": [5.459749827929797, 43.31777019509278], ""type"": ""Point""}",Marseille 12,13212,13012
SPÉCIALISTE EN CARDIOLOGIE,Santé,"43.302607906277416, 5.425008066487943","{""coordinates"": [5.425008066487943, 43.302607906277416], ""type"": ""Point""}",Marseille 12,13212,13012
PLÂTRIER PEINTRE,Services aux particuliers,"43.314575783496394, 5.413478220667311","{""coordinates"": [5.413478220667311, 43.314575783496394], ""type"": ""Point""}",Marseille 12,13212,13012
RESTAURANT- RESTAURATION RAPIDE,Services aux particuliers,"43.304905541642434, 5.418587354929002","{""coordinates"": [5.418587354929002, 43.304905541642434], ""type"": ""Point""}",Marseille 12,13212,13012
CHIRURGIEN DENTISTE,Santé,"43.31185838380531, 5.447075379209339","{""coordinates"": [5.447075379209339, 43.31185838380531], ""type"": ""Point""}",Marseille 12,13212,13012
COIFFURE,Services aux particuliers,"43.31361474925003, 5.449979980760046","{""coordinates"": [5.449979980760046, 43.31361474925003], ""type"": ""Point""}",Marseille 12,13212,13012
MÉDECIN GÉNÉRALISTE,Santé,"43.30380026659059, 5.417782618173255","{""coordinates"": [5.417782618173255, 43.30380026659059], ""type"": ""Point""}",Marseille 12,13212,13012
INSTITUT DE BEAUTÉ-ONGLERIE,Services aux particuliers,"43.317400889528066, 5.416982485434385","{""coordinates"": [5.416982485434385, 43.317400889528066], ""type"": ""Point""}",Marseille 12,13212,13012
INSTITUT DE BEAUTÉ-ONGLERIE,Services aux particuliers,"43.308402599653455, 5.419244913695863","{""coordinates"": [5.419244913695863, 43.308402599653455], ""type"": ""Point""}",Marseille 12,13212,13012
ENTREPRISE GÉNÉRALE DU BÂTIMENT,Services aux particuliers,"43.30896431016482, 5.419919332288325","{""coordinates"": [5.419919332288325, 43.30896431016482], ""type"": ""Point""}",Marseille 12,13212,13012
MAGASIN DE MEUBLES,Commerces,"43.29194044642085, 5.418501500269728","{""coordinates"": [5.418501500269728, 43.29194044642085], ""type"": ""Point""}",Marseille 12,13212,13012
COIFFURE,Services aux particuliers,"43.30354794044751, 5.417394948930676","{""coordinates"": [5.417394948930676, 43.30354794044751], ""type"": ""Point""}",Marseille 12,13212,13012
ÉLECTRICIEN,Services aux particuliers,"43.31635300301923, 5.446324744981177","{""coordinates"": [5.446324744981177, 43.31635300301923], ""type"": ""Point""}",Marseille 12,13212,13012
TAXI-VTC,Transports et déplacements,"43.31585139805364, 5.461405160115335","{""coordinates"": [5.461405160115335, 43.31585139805364], ""type"": ""Point""}",Marseille 12,13212,13012
BOUCHERIE CHARCUTERIE,Commerces,"43.30808496574666, 5.435964907889496","{""coordinates"": [5.435964907889496, 43.30808496574666], ""type"": ""Point""}",Marseille 12,13212,13012
ORTHOPTISTE,Santé,"43.3016686164965, 5.414985925773683","{""coordinates"": [5.414985925773683, 43.3016686164965], ""type"": ""Point""}",Marseille 12,13212,13012
ÉPICERIE,Commerces,"43.314492156745956, 5.438061593947253","{""coordinates"": [5.438061593947253, 43.314492156745956], ""type"": ""Point""}",Marseille 12,13212,13012
COIFFURE,Services aux particuliers,"43.31240456645944, 5.465285854891037","{""coordinates"": [5.465285854891037, 43.31240456645944], ""type"": ""Point""}",Marseille 12,13212,13012
AGENCE IMMOBILIÈRE,Services aux particuliers,"43.31128851566781, 5.418010433162874","{""coordinates"": [5.418010433162874, 43.31128851566781], ""type"": ""Point""}",Marseille 12,13212,13012
RESTAURANT- RESTAURATION RAPIDE,Services aux particuliers,"43.3158319439278, 5.463954075034238","{""coordinates"": [5.463954075034238, 43.3158319439278], ""type"": ""Point""}",Marseille 12,13212,13012
BOUCHERIE CHARCUTERIE,Commerces,"43.303941380472196, 5.418233403551104","{""coordinates"": [5.418233403551104, 43.303941380472196], ""type"": ""Point""}",Marseille 12,13212,13012
COIFFURE,Services aux particuliers,"43.32205241532553, 5.431470700910275","{""coordinates"": [5.431470700910275, 43.32205241532553], ""type"": ""Point""}",Marseille 12,13212,13012
PLÂTRIER PEINTRE,Services aux particuliers,"43.29054515148644, 5.420963596559638","{""coordinates"": [5.420963596559638, 43.29054515148644], ""type"": ""Point""}",Marseille 12,13212,13012
RÉPARATION AUTOMOBILE ET DE MATÉRIEL AGRICOLE,Services aux particuliers,"43.30875815819419, 5.43930169474391","{""coordinates"": [5.43930169474391, 43.30875815819419], ""type"": ""Point""}",Marseille 12,13212,13012
TAXI-VTC,Transports et déplacements,"43.29909590741856, 5.435324988887793","{""coordinates"": [5.435324988887793, 43.29909590741856], ""type"": ""Point""}",Marseille 12,13212,13012
PLÂTRIER PEINTRE,Services aux particuliers,"43.31245850135838, 5.46438878905419","{""coordinates"": [5.46438878905419, 43.31245850135838], ""type"": ""Point""}",Marseille 12,13212,13012
MASSEUR KINÉSITHÉRAPEUTE,Santé,"43.31572903152133, 5.415316200681811","{""coordinates"": [5.415316200681811, 43.31572903152133], ""type"": ""Point""}",Marseille 12,13212,13012
SALLES DE REMISE EN FORME,"Sports, loisirs et culture","43.304731130018965, 5.417005851856957","{""coordinates"": [5.417005851856957, 43.304731130018965], ""type"": ""Point""}",Marseille 12,13212,13012
RÉPARATION AUTOMOBILE ET DE MATÉRIEL AGRICOLE,Services aux particuliers,"43.29054515148644, 5.420963596559638","{""coordinates"": [5.420963596559638, 43.29054515148644], ""type"": ""Point""}",Marseille 12,13212,13012
LABORATOIRE D ANALYSES ET DE BIOLOGIE MÉDICALE,Santé,"43.32313387084437, 5.43315475725199","{""coordinates"": [5.43315475725199, 43.32313387084437], ""type"": ""Point""}",Marseille 12,13212,13012
MASSEUR KINÉSITHÉRAPEUTE,Santé,"43.30776569255508, 5.435946856385471","{""coordinates"": [5.435946856385471, 43.30776569255508], ""type"": ""Point""}",Marseille 12,13212,13012
RÉPARATION AUTOMOBILE ET DE MATÉRIEL AGRICOLE,Services aux particuliers,"43.31427170633921, 5.417138453689365","{""coordinates"": [5.417138453689365, 43.31427170633921], ""type"": ""Point""}",Marseille 12,13212,13012
ÉLECTRICIEN,Services aux particuliers,"43.30377465742988, 5.426916714975698","{""coordinates"": [5.426916714975698, 43.30377465742988], ""type"": ""Point""}",Marseille 12,13212,13012
PÉDICURE-PODOLOGUE,Santé,"43.318107825511895, 5.424118203283022","{""coordinates"": [5.424118203283022, 43.318107825511895], ""type"": ""Point""}",Marseille 12,13212,13012
TAXI-VTC,Transports et déplacements,"43.31689763950307, 5.442505696432143","{""coordinates"": [5.442505696432143, 43.31689763950307], ""type"": ""Point""}",Marseille 12,13212,13012
COIFFURE,Services aux particuliers,"43.30493928864421, 5.417259814816605","{""coordinates"": [5.417259814816605, 43.30493928864421], ""type"": ""Point""}",Marseille 12,13212,13012
PSYCHOLOGUE,Santé,"43.31781337579121, 5.459699283739736","{""coordinates"": [5.459699283739736, 43.31781337579121], ""type"": ""Point""}",Marseille 12,13212,13012
PSYCHOLOGUE,Santé,"43.313785336540604, 5.46577260676986","{""coordinates"": [5.46577260676986, 43.313785336540604], ""type"": ""Point""}",Marseille 12,13212,13012
ÉLECTRICIEN,Services aux particuliers,"43.32122142887708, 5.430230190660535","{""coordinates"": [5.430230190660535, 43.32122142887708], ""type"": ""Point""}",Marseille 12,13212,13012
TAXI-VTC,Transports et déplacements,"43.29728652062401, 5.43392852300278","{""coordinates"": [5.43392852300278, 43.29728652062401], ""type"": ""Point""}",Marseille 12,13212,13012
INFIRMIER,Santé,"43.30321336660697, 5.417304516880901","{""coordinates"": [5.417304516880901, 43.30321336660697], ""type"": ""Point""}",Marseille 12,13212,13012
